"","riagendr","ridageyr","ridreth1","ridreth3","ridexmon","bpq020","bpq030","bpd035","bpq040a","bpq050a","bpq080","bpq060","bpq070","bpq090d","alq101","alq110","alq120q","alq120u","alq130","alq141q","alq141u","alq151","alq160","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","wtdrd1","wtdr2d","dr1drstz","dr1exmer","drabf","drdint","dr1dbih","dr1day","dr1lang"
"riagendr",1,-0.0146127244959138,-0.027209122178992,-0.0285247592592159,0.0124352202016179,-0.00616297985914868,-0.0259345674397522,0.00148917172334678,-0.053042846273503,-0.0677184689281797,0.0189476475443422,-0.0172623191531216,-0.0363383934133608,0.0396986824434859,0.245881293834026,-0.0616666771663995,-0.010337597411676,0.25478139717718,-0.0232557908507787,-0.0516250949160757,0.174987289630633,0.173753346076918,-0.0362365979516386,-0.0130340504414864,0.0242184697433223,0.0047825016752691,0.0129444526528097,-0.00577898090007788,0.00946777055024713,-0.00876732918414385,0.021075331542091,-0.0213110497721034,-0.00237767669309329,-0.00721357183745595,0.0180912470561406,0.00694893105849612,NA,0.0243074338837703,-0.0281124277672129,-0.0104155040905061,0.00554943513297509
"ridageyr",-0.0146127244959138,1,-0.042208923331746,-0.0598369503397003,-0.0435757636420988,-0.402978404165309,-0.0858272844610219,0.116295551192961,-0.350845812148354,-0.465698577668004,-0.201868320426307,-0.128054960881769,-0.196221380462813,-0.316195198115168,0.0385620524937498,-0.0168309092000553,0.0174872855677005,0.0130580684652974,-0.0139828234057619,0.00185019129180098,0.0108576559647254,-0.0862160808857421,0.02740774427343,0.223175662357851,0.018151801795368,-0.336569348931306,-0.0300372609751519,-0.190532037073894,-0.0124446736989587,0.0461096762097783,-0.059702135010239,0.0876759557026016,-0.0306770181397938,-0.0261496014488356,-0.0362517221937686,-0.000359293787647058,NA,0.0797241671480073,0.0162238625634484,-0.10139833310903,0.0846885820232213
"ridreth1",-0.027209122178992,-0.042208923331746,1,0.972305767088816,0.195966642488183,-0.00990367199265291,-0.00751833106255231,0.00731573289125611,-0.0958459214265913,-0.0514817506936867,-0.0145095497031661,-0.00485290023649859,-0.0432114280476243,0.0392885999155657,0.0238055964941668,-0.000651725584855252,0.0294217817289699,-0.0263389821632694,0.010771313259263,-0.0328866445220657,0.0615338722220819,0.0256557976490067,0.0389530670104771,-0.0210362743729319,0.00434638705884638,0.0183268258044017,0.0175899804134508,-0.00729949620808806,-0.00956329672633402,0.0157867395873434,-0.0446719820103596,-0.0315510695247968,0.00850479452793715,0.00963740383797109,0.0775825130554545,0.00327375579560592,NA,0.0255957254517112,-0.0367642967948565,0.00721567333340299,-0.036925658152118
"ridreth3",-0.0285247592592159,-0.0598369503397003,0.972305767088816,1,0.149978460201988,0.00399067361515586,-0.000918415084169724,-0.00116331690971876,-0.0792867069194617,-0.03589051016714,-0.0117384194659716,-0.00139049178874498,-0.0296222737193973,0.0396662512344287,0.0361442748876217,0.00626949821583501,0.0246872254933638,0.00106530402652354,0.00396136814149949,-0.0260845344076362,0.0711665306972473,0.0411266853334379,0.0377690613909192,-0.0279455558199573,0.00667613890063708,0.0298552538842164,0.0193098622007767,0.00715304697457455,-0.00295218284101308,0.0105913869113679,-0.0378338849472626,-0.024946867723828,-0.0238856987405703,-0.0158026412913764,0.0917114103415238,-0.00153340834974487,NA,0.00996107730555851,-0.026020783862037,0.013289201824501,0.0117751721034635
"ridexmon",0.0124352202016179,-0.0435757636420988,0.195966642488183,0.149978460201988,1,0.0181776598435663,0.0139480373428453,0.0431429952600566,-0.0203289809994079,-0.0143701591575365,0.00901219994680015,0.0440962846871866,-0.0224636098170398,0.0219772175606594,-0.0150921985527594,0.0344283493647616,0.0259749563751208,-0.0400159954309969,0.0212067639459209,-0.00463622694190311,-0.01125023387179,0.00921660126560011,0.0179260884828862,0.00444705101052651,0.0175481954083479,0.0227068874804016,0.0259213806598804,0.0172367481848055,-0.00401971929327557,0.030130123561999,-0.0150825924342861,0.014387883836722,0.0845488926083874,0.0741016777342012,-0.00844466311487732,-0.0551585614689373,NA,0.0254931187783901,-0.0899395019131956,-0.017996290603118,-0.0779435276850414
"bpq020",-0.00616297985914868,-0.402978404165309,-0.00990367199265291,0.00399067361515586,0.0181776598435663,1,0.081262281282412,-0.031084452922486,0.201225664051021,0.219424328930982,0.203230680455848,0.103589218759271,0.155053062443811,0.268013214698352,-0.0172663095020678,0.00932459303867149,0.000403405941454228,0.00144438710248344,0.00364816051477066,0.0185440685494642,0.0795577235665521,0.0930970889278049,-0.0172225761651344,-0.0866042380628401,-0.0272997813740009,0.160792218208198,0.0366120343558831,0.0735787118842326,0.0257986902335585,0.0028225702741241,0.0101176607656884,-0.00603132094451278,0.0626689791728577,0.0461446029348444,0.0281481274773819,-0.0158741246707802,NA,-0.0482782268597899,0.000110989820574361,0.0421319833853717,-0.00521757378243874
"bpq030",-0.0259345674397522,-0.0858272844610219,-0.00751833106255231,-0.000918415084169724,0.0139480373428453,0.081262281282412,1,0.0868849436083074,0.216610697657196,0.10437965447819,0.0247866906863153,0.273505429875508,0.105502942780938,0.00270598641352106,0.0116051963330168,-0.00485282684485712,0.0573185510031311,-0.0185086065577448,-0.00520657693355642,0.010854992568013,0.015101171932946,0.0121383404871834,-0.0132292538089313,-0.00760952427696557,-0.0222467386179371,0.00332335787554125,0.0191207758600608,-0.0051202966351341,0.0184341781143938,0.00157418559161826,0.0318545243027437,0.0307748429792018,0.0192639447299923,0.0439669953471313,0.00493465206452226,-0.0328893526507065,NA,-0.00443223220767257,-0.0170038276394659,-0.0212160956879395,0.00043567063570174
"bpd035",0.00148917172334678,0.116295551192961,0.00731573289125611,-0.00116331690971876,0.0431429952600566,-0.031084452922486,0.0868849436083074,1,0.0110992767042614,-0.0597413405587793,0.0371264016461929,0.244369177678995,0.0362253213937629,-0.0835983339058494,0.0303005888939588,0.084592848483698,0.101436043689503,-0.0261822459432456,0.0708230177148226,0.0535367346800426,-0.167535456390804,0.0437758297689272,0.0795698999172316,0.0206064106465633,-0.00709858703444746,-0.0573231885180745,0.0579994926449843,0.0303819568170639,-0.0131132581446622,-0.00797693309500658,0.03792434711025,0.0537131219504136,-0.0130047414972434,-0.00764269849030504,0.00532826410797921,-0.00734383221408564,NA,0.0122410679693777,0.0195190168505638,-0.034117473425196,-0.0154668049033315
"bpq040a",-0.053042846273503,-0.350845812148354,-0.0958459214265913,-0.0792867069194617,-0.0203289809994079,0.201225664051021,0.216610697657196,0.0110992767042614,1,0.223382997794028,0.106824604944138,0.170679909007331,0.223415448834011,0.132138908365398,-0.0102127090556597,0.0186726282179848,0.0183222482699775,0.024957519933673,0.017490252320875,0.0135794869624276,0.0556831887755216,0.0359742733895415,-0.0170833117974913,-0.0507609541822317,-0.0057236566821761,0.102126312553261,0.00742694258436339,0.0575941725858487,0.0153909837925254,0.00247237851675209,-0.00563103248046412,-0.0101211157867272,0.00265111386667849,0.0166407342154206,0.0308922109669953,-0.00141766463207099,NA,-0.0783401701745644,0.00628886031809045,0.0127919232151113,0.0142886105304144
"bpq050a",-0.0677184689281797,-0.465698577668004,-0.0514817506936867,-0.03589051016714,-0.0143701591575365,0.219424328930982,0.10437965447819,-0.0597413405587793,0.223382997794028,1,0.128413882968688,0.0970763079293786,0.262757882619178,0.185753305778131,-0.037259889205874,0.0144258221571479,-0.00398087212740754,-0.0305515921451275,0.00615035125503595,0.0440525740200333,0.065149166496717,0.0495605365974258,0.00386769029774431,-0.0455134434555797,-0.0395858728040918,0.163587273356787,0.0468095009575686,0.0842373107706986,0.0460828728788419,-0.0080271946655002,0.0474455263049199,-0.0193280699094202,0.0720402425160965,0.0921963484221567,0.0436231984317206,0.0330760529336189,NA,-0.000595232342266338,-0.0200734527806472,0.0626981889294785,-0.0294753977452343
